           lng            lat            alt
 -12.651389536  -50.336336000         15.000
 -12.650596393  -50.336048000         14.900
 -12.649028553  -50.335472000         14.800
 -12.647460713  -50.334878000         14.700
 -12.645892873  -50.334302000         14.600
 -12.644325033  -50.333726000         14.500
 -12.642738747  -50.333132000         14.400
 -12.641170907  -50.332556000         14.300
 -12.639603067  -50.331980000         14.200
 -12.638035227  -50.331404000         14.100
 -12.636467387  -50.330810000         14.000
 -12.634899547  -50.330234000         13.900
 -12.633313261  -50.329658000         13.800
 -12.631745421  -50.329064000         13.700
 -12.630177581  -50.328488000         13.600
 -12.628609741  -50.327912000         13.500
 -12.627041901  -50.327336000         13.400
 -12.625474061  -50.326742000         13.300
 -12.623906220  -50.326166000         13.200
 -12.622319935  -50.325590000         13.100
 -12.621545238  -50.325302000         13.000
