           lng            lat            alt
 -12.654562107  -50.355686000         15.000
 -12.653695183  -50.354894000         14.900
 -12.651961337  -50.353292000         14.800
 -12.650227490  -50.351690000         14.700
 -12.648493643  -50.350088000         14.600
 -12.646741351  -50.348486000         14.500
 -12.645007504  -50.346884000         14.400
 -12.643273658  -50.345300000         14.300
 -12.641539811  -50.343698000         14.200
 -12.639787519  -50.342096000         14.100
 -12.638053672  -50.340494000         14.000
 -12.636319825  -50.338892000         13.900
 -12.634585979  -50.337290000         13.800
 -12.632833687  -50.335688000         13.700
 -12.631099840  -50.334104000         13.600
 -12.629365993  -50.332502000         13.500
 -12.627632146  -50.330900000         13.400
 -12.625879855  -50.329298000         13.300
 -12.624146008  -50.327696000         13.200
 -12.622412161  -50.326094000         13.100
 -12.621545238  -50.325302000         13.000
