           lng            lat            alt
 -12.654562107  -50.355686000         15.000
 -12.653879635  -50.355632000         14.900
 -12.652477802  -50.355524000         14.800
 -12.651094413  -50.355416000         14.700
 -12.649692580  -50.355308000         14.600
 -12.648309191  -50.355200000         14.500
 -12.646907358  -50.355092000         14.400
 -12.645523969  -50.354966000         14.300
 -12.644122136  -50.354858000         14.200
 -12.642720302  -50.354750000         14.100
 -12.641336914  -50.354642000         14.000
 -12.639935080  -50.354534000         13.900
 -12.638551692  -50.354426000         13.800
 -12.637149858  -50.354318000         13.700
 -12.635766470  -50.354210000         13.600
 -12.634364637  -50.354102000         13.500
 -12.632981248  -50.353976000         13.400
 -12.631579415  -50.353868000         13.300
 -12.630196026  -50.353760000         13.200
 -12.628794193  -50.353652000         13.100
 -12.628093276  -50.353598000         13.000
