id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],141881.2434485643,"[10.97520292719697, 2, 19.649330438278884, 7.455727668321729, 15, 58.97619062298667]",0.0008258819580078125,"[[0, 0], [-0.6189598409592478, 0.0], [-1.292198009074799, 0.7450785616171183], [-0.1552453140779968, 0.8132630551368505], [-0.9527104066182334, 1.9382704960534751], [0.35678796886482217, 0.7667929646669045], [-1.1268640230479197, -1.3425007602839483], [-2.504253814284918, -3.2472100279822493], [-4.760258603727079, -2.0335679421509494], [-6.611462272639088, 1.6805529297685002], [-8.831897098202747, 6.940561241142176], [-7.309336115113793, 0.62316356814215], [-14.206474840852186, -0.4761243014291021], [-9.640621575750922, 4.801316734638497], [-2.847538457127847, 8.033208584843363], [0.3280017675891499, 0.9703005489189461]]"
1,0,[],131222.46895472443,"[9.416872259764915, 2, 28.634707846973424, 8.467973864615791, 18, 89.5950471270032]",0.0009100437164306641,"[[0, 0], [0.8574033412954296, 0.0], [0.3025506450672959, -0.5318300510466797], [0.4558392374753409, 0.06635913761993195], [-0.13984052128985944, -1.1660412190445035], [-2.1296353249011113, -0.12039844794426807], [-1.770200632205758, -3.6545944479210477], [-6.284358552170555, -1.3040929226286853], [-10.677878578868167, -4.992298180424997], [-12.491208720555681, 0.27105844963550096], [-18.111268909489784, 3.071001684569167], [-22.584887113985605, 8.209241297205715], [-23.819378834897428, 0.8881239708563248], [-18.365414779914673, -3.869403691918755], [-11.783087826477354, -2.5063250280891003], [-4.690944761616437, -1.2340023013721872], [1.933320773628558, -2.070917649126395], [-0.9598936615914736, 4.41017911582658], [-5.658917544973445, -2.4731058612518195]]"
2,0,[],100180.19288923945,"[10.00079088669904, 0, 0.06327343793023417, 0.4052153222413013, 1, 0.12577105979738956]",0.0009186267852783203,"[[0, 0], [0.12577105979738956, 0.0]]"
3,0,[],289242.2494832744,"[7.494691320486728, 20, 21.787013808542728, 10.767537463141801, 23, 25.075627821573114]",0.0011105537414550781,"[[0, 0], [-0.012436424139293578, 0.0], [-0.37593267807972436, 0.19649715703571197], [-1.1257158469712005, 0.18953050729598447], [-0.4265194235257247, 0.7497178347679458], [0.631180613605997, 0.7228937617424948], [1.0142764895287915, 0.7834447255531238], [0.23083000683058852, 0.055896111792163694], [2.032533023222833, 0.8387988318522351], [3.077684136599494, -1.6046933211529861], [0.20685977733670258, -3.117792585432604], [-1.799372598063656, -1.5511389001019773], [-2.7384370636381656, -1.6844504756015637], [-2.362662771646881, -1.9304218906650878], [-2.302099154280642, -1.992224826983172], [-2.317237115965282, -1.964938124997268], [-2.4065743576045753, -1.8309552803035496], [-3.092228569407563, -1.9692463469106802], [-2.8938534503677267, -0.9040619417627322], [-2.9051375772046013, -2.478565398568688], [-1.2634177650626366, -1.918267222138595], [-1.4008678872434153, -2.978214444942255], [-0.5731023822701495, -2.7556453769703673], [0.7930289864520903, -2.5473828076288614]]"
4,0,[],336976.2381162642,"[14.280240296735625, 18, 22.520249072250934, 9.472221893538489, 19, 66.48842342869247]",0.0011970996856689453,"[[0, 0], [-0.1199752662626592, 0.0], [-1.058845754742088, 0.2990276902395661], [-0.4447963419326102, 1.2073126974157296], [-0.4186130289175831, 2.265802121220987], [1.2693389582458614, 0.9778164761742606], [-1.1279543286855398, -0.964666849428157], [1.9925892520377717, -2.3824761830600187], [3.756594154620416, -5.725817395063415], [6.085317346416642, -1.2434595368395778], [1.2060842203042494, -1.7757336567585509], [5.4898328353898584, -2.4517155641373956], [1.1816548622526317, -4.876746341311245], [0.708070428802581, 0.18541155329788497], [1.628355805650608, 5.773134046418063], [5.7143478488546116, 1.8661357765232642], [2.969397290770544, -1.746578751966497], [-0.7986011547170112, 0.1761687241937418], [-3.707195025191023, 2.102731178597478], [-6.563757777478976, 2.6823636113737197]]"
5,0,[],292893.51876283484,"[15.93735420908472, 12, 21.29678294403697, 10.25748931738407, 18, 45.83626823067062]",0.001283407211303711,"[[0, 0], [-0.7065638000549397, 0.0], [-0.786466768035689, -0.6943849181645383], [-1.0628604797260426, -1.084703233983647], [-0.22343135316902607, -0.7321147620148608], [-1.3656613328820781, -1.7645727446809385], [-1.4837052966929953, -3.7317525601466985], [-2.289760659000152, -2.06882246181971], [-0.5965334695468276, -0.7721768169922436], [-1.6790858489127696, 0.712554578429448], [0.16088544398655602, 0.8461732483016838], [0.8744293563041126, -1.5256319089869632], [1.1572029354193931, -5.104218079796577], [5.917900376509242, -7.325579888978462], [10.693639925900845, -9.43629038949639], [11.01731181951742, -4.733351582556914], [14.927065529638867, -4.1998239350529705], [12.066771148203811, -5.719823427589636], [15.466949762101939, -6.156469820276518]]"
6,0,[],121406.2953569251,"[11.967620615067844, 0, 2.7036945025712766, 0.7609888948850563, 3, 2.143065472505894]",0.0012989044189453125,"[[0, 0], [-0.1389133008606529, 0.0], [-0.2631451478476451, 0.9153637066340505], [-0.5585984899525799, 1.9545769859589561]]"
7,0,[],164896.73467723667,"[15.117510418063425, 0, 22.091044293003527, 9.556257027407181, 17, 20.48264735996417]",0.0013802051544189453,"[[0, 0], [-0.6023135026201132, 0.0], [-0.7055039080369205, 0.24201695983990257], [0.1556694628438584, 1.0893676023863241], [-0.39182808171453387, 2.5300575044554554], [-0.019160687998595993, 3.7036148149906305], [-0.6636137894572768, 2.7642454888248493], [-2.075703867668738, 3.7528411629514884], [-4.611280692356464, 3.3828814218551613], [-2.916944457437694, 2.4854868523172335], [-2.860499946406679, 2.447348039605987], [-2.1289944842032424, 2.4524610122759323], [-2.3199160597841733, 2.548353627708], [-2.7795023141704154, 2.889588112014955], [-2.517842097628622, 2.410270614879658], [-1.6964494912444525, 2.6628319732678927], [-1.280883353695555, 4.847795576366614], [-4.337674938865933, 4.481840261686035]]"
8,0,[],333361.9050856528,"[31.21794935314555, 0, 34.98877835823937, 11.99723152632833, 24, 88.2992224447427]",0.0014882087707519531,"[[0, 0], [-0.6232860565186769, 0.0], [0.5399110085155066, 0.6571769897907297], [0.8914299463433842, 0.38512658769792396], [1.242574148722426, -0.02783222207149914], [0.5139189243039026, -1.029876940342244], [-0.390288260786648, -1.3402700218460828], [-0.2946875354245265, -0.5265173913280358], [-1.902374983936026, 0.5874322458327877], [-1.4423935649194093, 3.5706429434937568], [-5.206899101541469, 3.4869460654696858], [-4.757327633944745, 0.6127991193210146], [-6.5861981143324675, -0.8747754448460178], [-6.864461376094328, 2.323637067142509], [-7.67515797759714, 6.820579590211421], [-7.45668384492817, 12.590477883007672], [-7.947919255507912, 19.277745970386988], [-3.9402543833556796, 13.331275840619519], [-10.651064682370658, 11.178657850619345], [-4.842311069358012, 14.390616230107911], [-3.334758722388277, 19.951623831347394], [-6.47243451422248, 14.950652738884827], [-0.6613522529042822, 13.661159442978033], [-4.441510756139212, 16.44155388872791], [-7.453487728702628, 20.315109805073114]]"
9,0,[],97280.44394539602,"[8.299052338838651, 0, 22.43141538500955, 10.543663297174847, 20, 19.846534787254196]",0.0015799999237060547,"[[0, 0], [-0.43133247971164645, 0.0], [-0.44620971954209937, -0.028985154959660697], [-0.21858288937344544, 0.02399766010521151], [0.7780878247782366, -0.42214288885947504], [2.3370418062217952, -0.03111411407141166], [3.4675604445382637, 1.1347952757377164], [2.20049938280572, 1.2145631190218433], [2.630079670696394, 0.8068682686126454], [2.0694640243118627, 0.15960395543330175], [2.8763021911924462, -0.32796738323587515], [1.5820109884747573, -1.157708752935736], [3.2604611110716673, 0.5754542733835614], [1.8259070784856144, 1.2265211187448344], [1.7016748345006876, 1.2059146403480312], [1.4939446852668314, 0.08057903601532815], [0.5178008735700217, -0.4022089595620809], [-0.17656344267473328, -0.5098701762452619], [0.012749230262221328, -0.9297913018232475], [0.4631906389490468, -1.17834781101464], [-1.0279403562154164, -1.764855292901829]]"
