id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],462304.5113978142,"[264130.28238700575, 180000, 14504.87979448951, 1317.5890576708714, 2200, 151.7601586480781]",0.0007150173187255859,"[[0, 0], [0.11451688720867503, 0.0], [-0.2127269099050317, 0.26885398328042337], [0.8255278672047012, -0.3384943665273641], [-0.8587646842584937, -1.4953464945371633], [-1.176655518299628, 1.5367938423100884], [2.585799770199342, 0.7742585198710709], [-0.7278168968879108, -1.3627972817558018], [-5.185180412146037, 0.14537266792771775], [-0.20813175319074517, -3.8761738631521467], [-0.18687143259467545, 3.414150790663635], [3.4589076035374324, -2.361450698403843], [-0.36161980778563424, -8.696397015491756], [-1.1664694591624185, -16.652513445224788], [-9.754124340849781, -17.337884052643226], [-10.337537032067623, -7.019988517622819], [-0.2819675020074378, -5.943770375111085], [5.8796470654015875, 1.8087322607280891], [-4.683558547334616, 1.4224875438775086], [2.6469162314259025, 9.297020955350648], [7.564562971179647, -1.0979102371888874], [10.122948263339506, 10.958928934464007], [-1.0311351497414296, 16.39289338138889]]"
1,0,[],98205.35284324393,"[69858.80137542229, 20000, 6508.657946921299, 517.6457625984939, 1300, 20.247758301846165]",0.0007722377777099609,"[[0, 0], [0.26129423870330326, 0.0], [0.7227954508446014, 1.3872510100587172], [-1.7906794458657342, 1.8643804916957702], [0.23659631480326884, 0.5430111341760293], [1.9948742712883996, 0.701525682845508], [4.165535660799861, 1.2267522668094584], [5.08360544527293, -1.2847015778588906], [2.3942874392662583, -1.4536320105585985], [3.883301053945987, -3.1422940344424557], [4.534180017377809, -4.151218660905581], [4.262537682430336, -4.576555405141214], [4.253361747260546, -4.597604321821711], [4.451694889541363, -4.616234226255905]]"
2,0,[],134208.95598271696,"[119737.12842615013, 0, 11950.527610263702, 802.4260078032455, 1700, 18.873938499879728]",0.00084686279296875,"[[0, 0], [0.385680465238736, 0.0], [0.8784938180882692, -0.9204057451100388], [0.7411472357724501, 0.03155790508128059], [0.9893030771307874, 0.4453135636902386], [0.9349877446990129, 0.15907940629108108], [2.5690442970916396, 0.15645189722060115], [1.4817144585912296, 1.834322338792317], [2.198494796586223, 2.981600601381725], [2.302395102773029, 3.0855015120328373], [1.0091816297723475, 2.4208340524797745], [-0.49596847373111763, 2.154049142033391], [-0.47235720171558215, 2.1566455937849476], [-0.18299568696542579, 0.7376235288859982], [-2.5806417800022063, 0.9803826774879372], [-0.6627659386132548, 1.5842105317345259], [-1.6915223859528001, 2.286482987227056], [-1.780330409141716, 1.8406175038166404]]"
3,0,[],319817.01435898227,"[80307.19009740626, 230000, 7130.273688618128, 631.4743507198679, 1700, 48.07622223793462]",0.0009305477142333984,"[[0, 0], [0.08464120060496882, 0.0], [-0.02205949342875671, -0.25338763568048883], [-0.011666347040154974, -0.3982271353959063], [0.40707099429531435, -0.6732417534639759], [-0.08018996497761269, -1.4870945984149893], [-1.5652192001440803, -2.1269975634770355], [-1.0560001113866087, -3.913111721500103], [-0.18135109657247744, -5.565158088636183], [1.6950171407933903, -3.941934193801401], [2.1259607255137754, -0.8306775091033621], [5.493721475451453, -3.187869104306212], [1.5957421606350226, -5.7675085841630205], [-3.3492175287519297, -6.82552344489358], [-4.877391688519145, -11.34769524611358], [-7.10907217093712, -15.81620761066268], [-3.3196131616347775, -19.78635763938816], [2.358907027280713, -17.67645787131377]]"
4,0,[],92618.44355448915,"[87552.28798113971, 0, 4492.183565998025, 162.21767414340945, 400, 11.7543332079915]",0.0009505748748779297,"[[0, 0], [-0.9773132307427559, 0.0], [-3.414595308657472, -0.08460747171751151], [-0.7706197011820299, 2.150290344061996], [2.3773687133757324, -1.5737226898240277]]"
5,0,[],104929.28848142526,"[96965.16767813318, 0, 6396.508177070056, 561.7345545073505, 1000, 5.878071714678031]",0.0009932518005371094,"[[0, 0], [-0.12303526469993398, 0.0], [-0.277101887122978, 0.0655032384626584], [-0.8645324463775022, -0.15167300502872988], [-0.48115459286612294, 0.19451181661498618], [-0.5708457409565706, 0.3091462061610818], [-0.16515775686200124, 0.6248249420204566], [-0.2696060327326839, 0.9479883362799505], [-0.05733193164679243, 0.8747689528266497], [0.7707729461822205, 1.0633857844278842], [-1.1200035132662371, -0.3683838553046499]]"
6,0,[],201378.90430703698,"[191302.36969440404, 0, 8265.5125892158, 581.4676651647152, 1200, 29.554358252451507]",0.0010464191436767578,"[[0, 0], [0.9798457504570979, 0.0], [1.171827151912695, 1.162970370899015], [1.34132838501459, 1.259845560009398], [2.9492786488314455, 1.4114684437783085], [3.2070343855606924, 3.4778780520005346], [3.689708097681533, 5.89596728267093], [0.2869232849272973, 5.056981724029283], [2.4641599896885285, 2.698110163505774], [0.09210865429367296, 4.238684279768644], [-2.2964080304573873, 1.9200881436702932], [-0.7647277732977642, 5.6558421088362705], [1.5602225148703643, 9.066506554978442]]"
7,0,[],146584.8418153996,"[142732.44625208256, 0, 3066.662356967175, 276.28469510920024, 500, 9.448511240656877]",0.0010716915130615234,"[[0, 0], [0.0670444717183194, 0.0], [-0.8702883063282976, -0.2736603772371994], [0.06581242699239467, 1.4170732427658495], [0.33551033791331947, 4.319733934926169], [-3.19811272988739, 3.910341013000673]]"
8,0,[],379311.766512572,"[265265.5836220446, 90000, 20220.718344152152, 1312.446826352767, 2400, 113.01772002253622]",0.001173257827758789,"[[0, 0], [0.1992549606247398, 0.0], [-0.13490547619333476, -0.3934313315042163], [0.9967761979810573, 1.7010890494592124], [4.652355992854432, 0.20222596925114197], [5.205512585219044, -5.220385242366743], [-0.4024728908661348, -3.858496740079075], [-6.1654768212453455, -5.915802298036098], [-9.80532118630733, -0.3682860582886591], [-12.577645666687086, 5.168194676205152], [-14.789272233066955, 0.02733540758195635], [-20.125178596702508, 0.041851323038015704], [-16.19983179197507, -2.9029814650495323], [-14.876667755904862, 0.26751300780568255], [-13.811999580858265, 3.35787640349616], [-18.552996830375694, 4.375038142804023], [-19.32012587690126, -1.1252961203186385], [-22.581712459480997, 4.1892357698925275], [-15.987758851013021, 2.6484051981119565], [-15.797850889196456, -2.7937242917541973], [-20.935213322756958, -3.537662014651104], [-23.566950169577968, 0.8161288554378237], [-24.022900557739458, -3.810426397298874], [-21.586557387315928, 0.39319663177395975], [-25.3705420597294, -2.254427449249402]]"
9,0,[],282727.37818115257,"[240629.8985467796, 30000, 9495.422115141047, 925.5924173181407, 1600, 76.46510191376362]",0.0012421607971191406,"[[0, 0], [0.7887895571772428, 0.0], [0.46374598372784137, -0.9419696858163576], [1.7298942062623595, -1.2121658552993562], [3.902358202024067, -1.0638182942538845], [4.360952550403902, 1.241450499011486], [5.146523230523631, -1.8400902892852962], [1.593821372670291, 1.09771614555379], [0.8946381727086742, 7.247039904250248], [-5.763869384380257, 10.731142026872472], [-5.075356808086451, 3.2181030821949324], [0.8747740920205422, -0.14219064074081145], [1.389919998700706, 6.107167912564863], [5.93571124853571, 1.5409596418510227], [3.032168702648578, 7.619113744302807], [4.654816203159039, 13.907885159139724], [-2.38579892062587, 13.944424074441105]]"
10,1,"[5, 9]",93266.29815850448,"[68727.77500019144, 10000, 11946.46685487048, 966.5918829860807, 1600, 25.464420456483797]",0.34862852096557617,"[[0, 0], [-1.0, 0.0], [-2.584921838333784, -0.4911868282556953], [-1.925244175822843, -0.385450461899642], [-2.24554354243846, -0.4919543944472185], [-2.6269355210238516, -0.9019803119264875], [-2.3072144672631354, 0.5251427481417359], [-1.1946758987693267, 1.6783073768699328], [-2.2588562789496898, 1.730185495847107], [-2.446332319726323, 1.2312661585686784], [-2.706671101362575, 1.434997525834267], [-3.6026690028449635, 2.5338245079587094], [-4.673264564503939, 0.5403347841186961], [-2.6999732710336994, 3.2216885590521525], [-4.259049039872328, 0.31863007910509733], [-1.48339034423129, -0.2990715449213272], [-1.8334678963756033, -3.376295142616225]]"
11,1,"[7, 4]",108623.92214319142,"[102945.95468857976, 0, 5043.297139609237, 131.8098263074397, 500, 2.8604886949942454]",0.49849390983581543,"[[0, 0], [-0.9773132307427559, 0.0], [-2.0888946731332867, -0.038587283885184495], [-2.0953988144028983, -0.045499182493620255], [-2.4568209900498443, -0.22286509748719996], [-2.2252202698593653, 0.05122333937706103]]"
12,1,"[2, 1]",100967.15668319284,"[92261.40528979697, 0, 6685.669211917922, 605.8247813598958, 1400, 14.257400118040582]",0.5640532970428467,"[[0, 0], [0.2640845424765852, 0.0], [0.15989700394154574, -1.0585763559308994], [0.7124416728659397, -0.013700734821830707], [0.34680594526577097, -0.5172661999562685], [0.345977101901426, -0.5221633143138202], [0.5352730971212587, -0.18007044912489506], [0.4564502829425156, -0.4593471551283387], [-0.5466672295091524, 0.2647707904187454], [-1.3840120387927368, -0.4753047847617874], [-2.297450714794717, -0.8555456950814682], [-2.889037617246042, -1.098711308688471], [-2.2771830398338877, -0.558661505753779], [-0.38455489922641506, -1.7529796669524074], [-3.781812231136317, -1.5845638669817288]]"
13,1,"[3, 12]",297227.0974073124,"[151339.7617633155, 140000, 3716.1964162534837, 643.2950752158005, 1500, 27.84415252762642]",0.6258711814880371,"[[0, 0], [0.2640845424765852, 0.0], [0.15989700394154574, -1.0585763559308994], [0.7124416728659397, -0.013700734821830707], [0.34680594526577097, -0.5172661999562685], [0.2906801070628153, -0.8488784923590951], [0.09723501407361534, -1.0397366334348497], [-0.024213020282850523, -1.2326748487580006], [0.29888939231048745, -1.8620153659955005], [-1.3427979238552732, -2.066869044396625], [-1.5403204180538976, -4.084421192396506], [0.02618694021347867, -6.267675654793718], [-3.589995581872409, -6.811762735885665], [-2.643616247357882, -2.6988232708638673], [-0.044554737656443424, 1.100219446271294], [-1.8614702055756056, 5.019060009851657]]"
14,1,"[11, 4]",65360.97677174436,"[0, 60000, 4519.443985127558, 221.0335343623447, 600, 20.499252254457353]",0.6687662601470947,"[[0, 0], [-0.9773132307427559, 0.0], [-3.414595308657472, -0.08460747171751151], [-1.1622401046893713, 1.8192617286925266], [1.6363082579850874, -0.30698760542581915], [-1.3454422347824246, -4.231738903562219], [-0.5693454869240305, -9.868945032382127]]"
15,1,"[12, 14]",91125.68004616008,"[85337.74010326543, 0, 4398.2494286548235, 378.32415498061766, 1000, 11.366359259219278]",0.7169027328491211,"[[0, 0], [0.2640845424765852, 0.0], [0.15989700394154574, -1.0585763559308994], [0.8951788424155848, 0.33185976783324955], [1.86688477608578, 0.06595672292572052], [1.7224471203724034, -0.4619218243453272], [1.6965314861338154, -1.1666633932272081], [1.9632181433045337, -2.5271501477331695], [-0.3332402638563016, -2.16455713271644], [-2.2827749263365873, -1.847803119360028], [-2.7944897697606796, -1.9367422349259076]]"
16,1,"[9, 14]",150662.21368347533,"[113355.32204313551, 30000, 5932.704522382772, 464.74213685143326, 900, 9.444981105632342]",0.7498970031738281,"[[0, 0], [0.7887895571772428, 0.0], [0.43211121494840515, -1.0336466043654868], [0.24056433686555426, -0.48301320617580773], [0.7169809260513731, -0.18822648289466712], [0.8058786115971113, -0.48661901470848334], [1.2689949397993217, -0.7364630605513875], [2.1644340928892527, -0.6143751401370178], [3.932612124094616, -1.9066442846721916], [4.076010724940078, 0.5773544388567746]]"
