id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],236981.37041608233,"[224858.2504886865, 0, 9945.196626309187, 502.8990976336036, 1600, 75.02420345302798]",0.0009148120880126953,"[[0, 0], [-0.45165203406545085, 0.0], [0.6002631859963107, 0.7365173273430498], [-0.9073282905168669, 2.671425484276851], [-0.47261815993094686, 5.5856763651557975], [2.101731169109213, 3.411012785872805], [6.636029761239964, 2.7429160955960237], [11.474231959821582, 2.2599783829676063], [12.871988263641034, -2.872807509442353], [18.864089545010874, -4.960680955154276], [21.91914795187207, -10.24476365885624], [22.355066124700148, -16.10617159818983], [22.78162062611961, -21.708324566612365], [20.440280050417826, -26.60766318243107], [14.63749098648514, -30.092469152493344], [8.528455575171948, -33.43540267187525], [12.89244104715001, -28.42273844937528]]"
1,0,[],213312.95921613538,"[194063.0192679039, 0, 16303.861663784313, 984.205659170329, 1900, 61.872625276839784]",0.0010113716125488281,"[[0, 0], [0.9003387576145698, 0.0], [2.0011368547011243, -0.6537825676104776], [2.377255210094135, -0.8308689602948683], [2.7661220209825763, -1.1966576241410063], [0.9321512615852252, -1.7994694365479496], [-2.2842878328692695, -0.9048427690271256], [0.9663320488443896, 0.7757526506799578], [-1.4765348739495094, -2.9163315157146488], [2.950232707153451, -1.2862266250007681], [3.4230008068577327, 2.9925993651249434], [2.889636567689616, 7.000271943468706], [4.742992735722917, 8.87478401995432], [3.3170377094619234, 6.633314633667593], [-0.4641063255987492, 8.836844319824966], [4.4350207437983356, 9.254475389988428], [2.1403041970443746, 5.5293672751793554], [5.290851797507109, 8.733436410310853], [6.6555334669292545, 12.776098281478165], [6.794584009359391, 8.177958703152179]]"
2,0,[],207334.80643795914,"[192371.78274841706, 0, 12155.044931443608, 961.5464439105835, 1800, 46.432314187889965]",0.0010967254638671875,"[[0, 0], [0.5722975268678152, 0.0], [0.37831759934843556, 1.7732416495314052], [2.4033359895596105, 2.147596354056164], [2.3153290176058117, 1.0086879026424482], [1.7238078979516984, 2.35350908489526], [1.839629612737744, 3.901256228030504], [1.874925009188845, 3.635171122697744], [1.1586827232432328, 3.7613261663433915], [1.4671680212479423, 1.3964590994556754], [-0.9364062415581003, 3.2995154126348716], [2.769852038514701, 4.002173702854458], [6.07656724235389, 0.7523392598053662], [10.222729331389981, 1.3547493300552995], [6.214666763590878, 2.5234295594387004], [4.640581410823497, 6.568935920777198], [7.0879742173065186, 9.112587016644103], [10.177814001618547, 9.378157803633796], [10.969522755928377, 5.803119897197871]]"
3,0,[],129875.42625133898,"[127542.87706843179, 0, 1871.8609625575743, 155.07908372718586, 300, 5.609136622426482]",0.001115560531616211,"[[0, 0], [0.7208386522274544, 0.0], [1.049176817515029, 2.0549663004346024], [-1.6962413972030153, 2.64098967768528]]"
4,0,[],113698.14504176809,"[101201.01981977788, 0, 9500.455466307896, 1171.3687124926037, 1800, 25.30104318970641]",0.0011992454528808594,"[[0, 0], [-0.7914202796907488, 0.0], [0.3560281200372174, 0.7867730818121906], [1.198569371854004, 2.318885780620592], [0.5623267565697496, 0.2868204523814546], [3.4030531485286906, 0.35870145353301597], [1.0232002250584027, -2.254240420911294], [3.6289757472347564, -1.4511076829022818], [4.768002772828429, -1.2644085592082548], [4.634718702958694, -1.3160183429670829], [4.7036458664262035, -1.352697111755569], [4.668232729228403, -0.40253002210553435], [6.226244259553286, 0.11187434285716943], [5.093354649797357, -0.7092231599495371], [5.145035067314178, -1.650754158097798], [5.292018923899511, -1.5716414756183148], [3.9681379022096084, -1.685404294130912], [5.0011288914777925, -2.393135786689253], [5.231224399433246, -1.3368160928902681]]"
5,0,[],191832.0400992896,"[167895.47574198438, 0, 19891.980567921582, 1448.3352742760608, 2500, 96.2485151075487]",0.0013155937194824219,"[[0, 0], [-0.4637706317175825, 0.0], [-0.35607219432571824, -0.6886370651221649], [-0.32568097344014574, -0.6945436619686817], [-0.3932814375264724, -0.8275490519838993], [-2.0787835640525136, -1.530735899972143], [-2.164042913383172, 1.641384306870115], [-6.149757439873725, 2.9549998471440104], [-9.60960281414657, 0.9987832037908736], [-5.647111169976954, 0.557314948860024], [-9.419450726706676, -3.298833081476224], [-6.516107105097923, 1.1398729563966792], [-11.172808234774225, 3.1356885092830304], [-16.091327712024192, 0.5669314300632007], [-15.115831227235912, -4.124088509728185], [-17.78582391714376, -0.7612012241846786], [-20.69797698550292, -3.535287576358848], [-16.96330595969806, -2.3987216928574], [-18.110499035595105, -5.905128541650238], [-21.061073613418, -7.208258108210589], [-16.896877814315175, -8.645936190955972], [-21.621253955060705, -7.800265991374873], [-17.10231718095181, -5.517492389473965], [-16.43044855633111, 0.31710702051782813], [-10.949420435174135, 3.639037006361801], [-5.429439747889223, 5.887419292330432]]"
6,0,[],105043.50036616375,"[102721.18754039999, 0, 1912.065985089013, 107.94241512174784, 300, 2.3044255529939734]",0.0013318061828613281,"[[0, 0], [0.19409240268389238, 0.0], [-0.14168924722844833, 0.1895739201223252], [-1.8641743440907153, 0.10154828290862516]]"
7,0,[],206527.05252051528,"[182532.4012776058, 10000, 11246.711826950575, 917.4800036998325, 1800, 30.45941225908308]",0.0014116764068603516,"[[0, 0], [-0.5320388872387678, 0.0], [-1.9218964232660136, -0.0282036647853447], [-2.8763668874298527, -2.1478763146505315], [-4.794142867995926, -4.167019606848668], [-6.88627128777331, -4.2748534030554435], [-8.472667820211191, -5.050209126849341], [-6.3705599744378105, -3.045640992353064], [-10.073503929088668, -2.463817088946913], [-10.746787237766473, 1.4947217358647424], [-14.191292980278764, 0.5485735408705169], [-13.74429803555416, -1.183557436137525], [-14.875855887214975, -0.9758890623207218], [-14.540786458800529, -0.3661930557038655], [-14.505426414031989, -0.2663353009430438], [-14.511643440850307, -0.26431595246257844], [-14.194065079834433, 0.020303684869720506], [-14.501539998271328, 0.9782192631906751], [-14.632414151038367, 0.9120681483475581]]"
8,0,[],202035.56753758175,"[181831.10359439015, 0, 17315.182266991003, 954.6825350950239, 1900, 34.59914110556435]",0.001500844955444336,"[[0, 0], [-0.8928531804724433, 0.0], [0.7445527699934844, 0.9746509502835348], [0.6821672037405628, -0.15265524951110188], [0.8228943803263878, -1.2439120654039697], [1.8631021248780293, -0.9591061562095212], [1.8783964114915677, -0.9726888844095223], [1.6545770515742295, -1.182973465650631], [1.9003069211567583, -1.0781604951903012], [1.3048498054650122, -0.3380376549444388], [1.3354258549236515, 2.3002051213962926], [4.648846066951586, 2.6326823294320594], [5.840716227774862, 4.708790993001417], [5.851887189631721, 3.527890147835451], [7.000549706502918, 4.728185746585937], [7.871995059572278, 6.989610799801285], [5.130178226897884, 5.3508932871796135], [2.245013020038429, 3.633822497705368], [1.1108221562706717, 6.815755881795432], [-2.039694992250147, 8.068346539795174]]"
9,0,[],99186.08383482632,"[89134.77571883702, 0, 8539.79947791244, 504.4723673025005, 1000, 7.036270774362592]",0.0015532970428466797,"[[0, 0], [0.698575315142683, 0.0], [0.7433880137005865, 0.40777765856848025], [0.8941065498808253, 0.4893840972750118], [0.9033071296497098, 0.48778002637007833], [0.9408942009461471, 0.6380198105822393], [0.8079151930292336, 0.8584791948588321], [0.4559779263534609, 0.5103081914888541], [-0.35051158912708, 0.16522029136231642], [-0.36260981924546054, -1.3885570644618626], [2.0448302977154715, -1.3242434636500655]]"
10,1,"[3, 6]",108022.83128080938,"[107556.03446765749, 0, 125.42657256843009, 39.93012145066503, 300, 1.4401191327888658]",0.43727731704711914,"[[0, 0], [0.22310022113062025, 0.0], [0.7670649410500564, 0.12914013994270318], [1.0945863814120051, 0.6997610327383775]]"
11,1,"[2, 7]",94316.57700328903,"[81311.05613870334, 0, 10235.589905840003, 922.5576258374278, 1800, 47.37333290826256]",0.439650297164917,"[[0, 0], [-1.0, 0.0], [-3.3388090310954603, 0.25829063326440826], [-0.6182480242637756, -0.4409741378250431], [-3.700987394224335, -0.10052620322677061], [-3.461225401847487, 3.1518492467066124], [-0.3612187785022046, 4.405307182849573], [-4.215492875080467, 2.1685333149319184], [-8.667046802595593, 3.8425224788842884], [-5.316560658287987, 3.0999885316815896], [-7.981596721554947, 4.102164752411206], [-9.01549144228616, 2.524305356806334], [-9.614080846932534, 1.8130861177087905], [-9.45952737308034, 0.2861465741293513], [-8.213078916498908, -0.6984869006919403], [-7.895228190295461, 0.9676838419522368], [-7.352899397239248, -1.593539942042712], [-7.462834964029988, -4.503797281090736], [-7.684730267238515, -7.342971730729625]]"
12,1,"[9, 1]",98851.01794808941,"[83280.73848983753, 0, 13040.751670256008, 917.6496346408704, 1600, 11.878153355007887]",0.6022067070007324,"[[0, 0], [-0.621404147745007, 0.0], [-0.46161828933151744, 0.6439224056523281], [0.03545181320537427, -0.125366014462446], [1.3295304102018444, -0.8370362385585703], [1.4094091506319846, -0.35654409317540714], [1.1541374041656471, -0.5245358302160665], [1.157528142609673, -0.5135339918502867], [1.4043309305166727, -0.07072948278512142], [0.6618095840211198, -0.7281901727048354], [1.1515341792967617, -1.7060388828648958], [0.08562991736450931, -2.751487415918537], [0.9071512235438123, -1.5029089301307623], [1.2705806360814347, -2.216097885342763], [1.1533831620993746, -2.19647852622251], [1.5939321536988902, -2.0823726608597344], [1.2802691945901494, -1.7709219943233894]]"
