id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],8878.767826459847,"[5.959526981045211, 8, 34.654861965173055, 12.145183486502635, 23, 52.815128355324724]",0.0006735324859619141,"[[0, 0], [-0.5595979668907394, 0.0], [-0.24093342872820311, 0.31681805597950424], [-0.7753884044143541, 0.25132574370182753], [-1.026054823467959, -0.818441485612016], [-1.4756413623056528, 1.2557104846786715], [-3.913067192382555, 2.638999025775151], [-5.590084270838396, 0.6072648697007537], [-6.905421945372654, -1.2596714697677798], [-6.0652062228035595, -3.2073395210560474], [-8.167537751512343, -3.601804572363102], [-7.050600483424678, -2.1438581136233896], [-7.168029804624631, -2.9110681202363176], [-7.257439748416675, -2.122446787536862], [-6.411536406738353, -1.0253079227865147], [-5.96814744253075, -0.5492169452692048], [-6.314891628011288, -0.618975202207844], [-5.994643932483083, -0.306397039800388], [-6.877243425190428, -0.7687624051070336], [-4.079164913874826, -0.6812553473439804], [-4.191702341076739, 3.66400250496279], [-7.883122222082952, -1.0364464662579556], [-1.9531202158744532, -6.138549449135494], [-4.8463849393288, -13.4682149382143]]"
1,0,[],1702.7540710509356,"[6.523174293084207, 1, 7.440252950260728, 2.396967471365268, 4, 10.436641742514912]",0.0007009506225585938,"[[0, 0], [0.7419785070644258, 0.0], [0.46445431720973107, 1.9438080292553788], [-2.437078927011433, 0.7640422681126608], [-0.7712180678401277, -3.522575700960174]]"
2,0,[],1383.1170344252685,"[12.946893793021385, 0, 13.302403795604029, 2.7297529874418616, 8, 8.427655123130183]",0.0007379055023193359,"[[0, 0], [0.7291329229559222, 0.0], [-0.2941386340520452, 1.8904616061783308], [1.459793493832418, 2.5721529068473545], [2.4841397330684662, 2.2133349704273013], [3.388919393218376, 1.9815864993680536], [3.4142477233566186, 1.859010135743122], [3.8497395564451504, 1.5467716235668094], [4.687187329403825, 2.0686508702030126]]"
3,0,[],997.3097255460267,"[8.76710497881929, 0, 16.286163564435792, 4.614144275165048, 11, 10.599227664097631]",0.0007891654968261719,"[[0, 0], [0.008258040530940258, 0.0], [0.13981525284746008, -0.09580041454296197], [0.19276206943528973, -0.04228262399388116], [0.3789692039342584, 0.6833274068167134], [1.391161728865403, -0.8944735307462853], [-0.33685866862980063, -0.965562081777958], [-0.7592270869288407, 0.2143539716365805], [-0.9903703649072692, 1.0649119320008753], [-1.0815029603097754, 1.1558440831575783], [-2.2045257113702847, 0.9900740651128362], [-2.4936570443590087, -1.5950131317915401]]"
4,0,[],9155.067479441532,"[10.78082659512066, 8, 5.794061755295079, 3.191493830227273, 7, 6.9848199294663535]",0.0008237361907958984,"[[0, 0], [0.31402452436017114, 0.0], [0.5497168952682723, -0.610042809936354], [1.9300647316778645, -0.7126254878893143], [3.7229718560076135, -1.4956157368362784], [2.8227277222563383, -0.28491088571075796], [3.2517240724706644, -0.3990001390440785], [3.134615145106542, 0.31505743881873033]]"
5,0,[],7078.987391682665,"[8.574798747978157, 6, 34.252224269020175, 9.824325064127507, 20, 21.507516884849093]",0.0009081363677978516,"[[0, 0], [-0.15254188141079084, 0.0], [0.19798038409210944, -0.6819972645325327], [0.3675731036197151, -1.1180913065082123], [0.3837233765918805, -1.1616637476837532], [0.5529630186241561, -1.1178970411510536], [1.1019284619339225, -0.6262445532492011], [1.0695847284711477, -0.6326546591272755], [1.0851827723577232, -0.6172304439741041], [1.2867807333188712, -0.6850205845572217], [1.6622356573738974, -0.49255003055452384], [0.8663375946408969, -1.0930067607198444], [1.6261791898887061, 0.015766317635567573], [2.3744896680865843, -1.2509204111615366], [2.7088387384203205, 0.18700005295780386], [2.2757029053797173, 0.9711840941710542], [2.293946947051914, 1.0119095817625525], [2.5740341752602856, 1.1927845438716913], [0.9445843925928259, -0.38898635209844934], [2.4235812470758336, 3.3446583969299177], [3.503874493726904, -2.1737597084846794]]"
6,0,[],1069.965443204904,"[10.377231564055355, 0, 1.2553042343244456, 2.0232302277917844, 3, 2.242286799368497]",0.0009286403656005859,"[[0, 0], [-0.4579688074324113, 0.0], [-1.2207944072026906, -0.24022408100302], [-0.44627930582646275, 0.3676308631826686]]"
7,0,[],987.0373169546375,"[9.557084029850719, 0, 2.9473312346969274, 1.558097971499507, 3, 1.3289139695655883]",0.0009465217590332031,"[[0, 0], [0.021321406220626615, 0.0], [-0.5782413013169845, -0.10158952206143346], [0.03228067178449884, -0.44297048702595904]]"
8,0,[],2018.6497306392828,"[9.739398370136474, 1, 7.971530728291916, 2.539950500038098, 4, 4.70989362563557]",0.0009660720825195312,"[[0, 0], [-0.6633904476724157, 0.0], [-0.24676155228033947, -0.3534783164542862], [0.8031042899870635, -0.04504811916500956], [3.098264835112888, -0.766548011511626]]"
9,0,[],5992.223743275421,"[7.636756337557585, 5, 21.13007710651414, 8.142129254688045, 17, 58.54810951966317]",0.0010399818420410156,"[[0, 0], [0.12521548287366047, 0.0], [-0.24885238386795316, 0.23356558292835639], [-1.2944625478994176, -1.5645914992977414], [-3.0305506622266694, 0.9217638185572495], [-5.896444683794024, 3.6460317794209316], [-6.592519581406445, 8.685356228206885], [-7.857261668294006, 3.503196412554122], [-1.9742674783341223, 4.09216414848479], [4.514785737208129, 4.384070997561699], [6.532695013673838, -1.9257149987904487], [8.322142550968453, -7.428031670603835], [4.808260390167976, -4.7304755818821445], [5.956460013050498, -1.139186829076352], [3.199510533587037, -2.671273491274245], [1.3339928362726532, -2.820231125086833], [1.417668633023612, -2.6057790358637414], [1.2487889302334785, -2.4660386537391727]]"
