id,generation,parents,fitness,fitness_trace,birth_time,route
0,0,[],755.049391361611,"[0, 0, 30.725750777471877, 10.265289578956986, 25, 95.1389877973225, 0]",0.0,"[[0, 0], [0.5981111394134127, 0.0], [1.474948070489145, 1.0428791555914512], [2.153555757500728, 1.9025658111605703], [1.8253360640323453, 0.3386340539443268], [-0.5446028708252996, -1.975367253315142], [1.0261195365100675, 2.112838553084964], [-2.958990794760822, 4.777171324984469], [-6.542542465322937, 0.8482644197341416], [-8.739591248370097, -3.6849426290815908], [-9.36328793346292, -8.118151778250414], [-12.719995648298864, -10.717506367243518], [-13.061488715350663, -15.074240334907369], [-14.975997704207426, -20.154418290670765], [-19.619010556847755, -17.452408238110564], [-22.449646086002748, -21.08267583071631], [-18.19486558287215, -19.43290730600996], [-21.10232914728172, -22.37792213970243], [-25.113560858422353, -24.058063790094113], [-23.354586955882727, -18.63241059055764], [-17.696238723465246, -20.26500363242598], [-15.55539443120828, -16.331498287938402], [-13.740245712575714, -14.463810111871632], [-11.667433510913353, -15.467461717133272], [-9.805627752442275, -17.61728811264202], [-8.17125221554094, -16.035967481830898]]"
1,0,[],10620.688492044266,"[0, 1, 22.034679696971363, 11.235625851664738, 23, 57.98543655790535, 0]",0.0,"[[0, 0], [-0.40070554043933093, 0.0], [0.7110198461594863, -0.4417196062521712], [-0.47426663828212895, -2.6200350489156135], [-3.801994222149501, -4.651757085663003], [-8.130097516480433, -5.006147063096159], [-4.491581299522498, -6.2134515741961875], [-6.635123997066127, -7.844186274530944], [-5.405862632660287, -5.52463281360758], [-8.997333027794474, -5.871881826737536], [-11.085432678346805, -3.2198590794946855], [-12.828293119325675, -1.3681835045782678], [-11.336827053998833, -1.0172778675142753], [-11.575232977709053, -1.7606551285718686], [-11.298659642660525, -3.2459101318702563], [-10.246858986943117, -5.382127501164114], [-10.138273390411703, -8.073236178796552], [-10.901251759798422, -10.641702139985266], [-11.679648238380553, -8.806370867073056], [-12.367331718097443, -7.518735297982426], [-11.802897968885782, -5.772631175445296], [-13.919137574328282, -8.083954857309331], [-15.114808767443161, -4.602535524028793], [-12.437393824455661, -2.6601685313194015]]"
2,0,[],137.318357864395,"[0, 0, 4.6857237232826945, 3.3528160210676092, 5, 6.932960420891962, 0]",0.0,"[[0, 0], [-0.8345736378796762, 0.0], [-0.31898058781647437, 1.3560126173004556], [-0.33118293853821745, -0.2611611005054875], [-1.9023372934892744, -0.16233099218056435], [-0.6597939722105011, -0.9216397984386242]]"
3,0,[],20128.49883068376,"[0, 2, 7.709223092083349, 1.4340654897770462, 3, 7.065944865156689, 0]",0.0,"[[0, 0], [0.6844018979133712, 0.0], [0.779709396175234, -2.345561632477272], [4.759870917815906, -1.688416382208265]]"
4,0,[],705.0630339040415,"[0, 0, 31.7278804739018, 9.518783781993802, 22, 72.59639134508556, 0]",0.0,"[[0, 0], [-0.2230870827639686, 0.0], [0.15084226009710078, -0.27983386266891996], [0.6009769633245597, -0.03651688627860378], [0.9410874064802983, -0.3553616350598345], [0.02604765718402946, -0.4769341446815263], [-0.0626068613931487, -0.7658256308161174], [0.6837835468770568, -0.824074263600876], [1.3054695281335316, 0.5258952005497894], [-0.43582312434636633, 2.389992248845275], [-2.8310473943078667, 2.0792563174449663], [-0.9738041435452818, 0.137229409261452], [1.8153835225365533, 1.8027607939118102], [0.9640564351201981, -2.030825238747062], [-4.162270242020468, -0.6215236742966357], [-7.875626321333615, -5.357598129220441], [-2.0781673955113225, -7.271335561436816], [-5.423275566297666, -11.889538752822352], [-10.135170604876174, -11.717760302625809], [-14.551291126211824, -13.94487290565189], [-16.894827249562596, -8.194774302914578], [-21.0452571080465, -3.302794608291788], [-23.02404907568845, 3.6316396453228714]]"
5,0,[],40506.46093555325,"[0, 4, 20.292719248896756, 7.679618987484719, 16, 66.73755318943344, 0]",0.0,"[[0, 0], [0.6052866712477889, 0.0], [1.4653994646473076, -0.6578465898937818], [0.48110813178959977, -1.8934865976968644], [0.06999653974565787, -0.5328164221612389], [1.1959645710250335, 0.29245621543683126], [2.1316085716836533, -1.56653336098659], [-0.589236634939958, -2.5149165249292036], [-3.076651404365369, -6.031757042010746], [1.5864248341816827, -4.025108036798073], [0.8104552014961748, 1.58038867413302], [-0.04481935232543377, 7.202367776002405], [5.728597422072024, 5.605695739752274], [-0.04185204503737652, 2.4890766373241426], [-7.191652322893833, 0.4807671684171945], [-8.423159169149255, 8.111936543397888], [-6.1592723105997536, 15.004770449768563]]"
6,0,[],30310.125568106047,"[0, 3, 13.98978544378608, 4.749461596614055, 11, 12.733097702044645, 0]",0.0,"[[0, 0], [0.37918313792275504, 0.0], [1.304763475165342, 1.0581246901890973], [-0.17106051597627997, 2.265696962823408], [0.5694863792360852, 1.4560193476431498], [1.5267103715952888, 1.464479527477879], [2.0995939050425525, 1.3228764312398849], [2.1083343023825827, 0.9884041385856579], [2.5887042961643663, 0.8569852189450066], [2.615402098528024, -0.3749965168787692], [3.2534443627387186, -2.634010885320925], [1.9845332826837994, -1.108496846213808]]"
7,0,[],122.63229744414713,"[0, 0, 5.71336326753486, 2.0093100058807583, 4, 5.405564709990944, 0]",0.0,"[[0, 0], [0.12776705705436942, 0.0], [0.3897299696301597, -0.45367288272714934], [0.3766730811376602, -2.215797285147876], [-1.6479824646440422, -0.013220377318452048]]"
8,0,[],386.02143034443185,"[0, 0, 21.990150263069626, 4.182890732087356, 11, 14.291020392862029, 0]",0.0,"[[0, 0], [-0.9157034957048387, 0.0], [0.17999329415571055, 1.9097340588771679], [2.360015300915995, 1.5854552436547584], [3.147119452986142, 1.2415157625600546], [3.0472116936227382, 2.2140180174228297], [3.4360012547197307, 3.100339222670816], [3.223623712253841, 3.5765782490379943], [3.5063308467722805, 4.275786253663575], [3.615041768134314, 4.699078985059203], [4.018000015510602, 3.4570896149011596], [1.4112722089044722, 1.6944350932760313]]"
9,0,[],612.3286527328742,"[0, 0, 23.91726455039206, 13.595146465050215, 22, 17.204542578451438, 0]",0.0,"[[0, 0], [-0.4350071294655664, 0.0], [-0.3820695613821756, -0.17107532154563443], [-0.10252023122355536, 0.5108034902593872], [0.10628232413492777, 0.8942292750838006], [0.12152890162044801, 0.6993037545142172], [0.25801079608156197, 1.1021019569063686], [0.27742591319995813, 1.470505592946203], [0.6840823176577651, 0.7759828174716272], [0.763001045028715, 0.8003571921405525], [0.15317283855846264, 1.5372974137279811], [0.1979731241816018, 0.6815098773391344], [0.6796886927816522, 1.0224713360817188], [-0.949397264898072, 1.3947982417929425], [0.7406674750662232, 0.4675073647951328], [-0.5941834786838536, 0.41545513898479414], [-0.04143963439408921, 0.3121741207661704], [0.03147617528217903, 0.3838572936095353], [0.3183631549467624, -0.27622741408471324], [-0.8080201859006106, 0.6407639434286091], [-2.0629351770163513, 1.9208947267062564], [-0.6670408874479566, 1.8975776299606355], [-0.8151601188702237, 1.8026651745245281]]"
